Object,Category,Mesh volume,Surface area,Diameter,Compactness,Rectangularity,Convexity,Eccentricity,Sphericity,extents_0,extents_1,extents_2,D1_bin_0,D1_bin_1,D1_bin_2,D1_bin_3,D1_bin_4,D1_bin_5,D1_bin_6,D1_bin_7,D1_bin_8,D1_bin_9,D1_bin_10,D1_bin_11,D1_bin_12,D1_bin_13,D1_bin_14,D1_bin_15,D1_bin_16,D1_bin_17,D1_bin_18,D1_bin_19,D2_bin_0,D2_bin_1,D2_bin_2,D2_bin_3,D2_bin_4,D2_bin_5,D2_bin_6,D2_bin_7,D2_bin_8,D2_bin_9,D2_bin_10,D2_bin_11,D2_bin_12,D2_bin_13,D2_bin_14,D2_bin_15,D2_bin_16,D2_bin_17,D2_bin_18,D2_bin_19,A3_bin_0,A3_bin_1,A3_bin_2,A3_bin_3,A3_bin_4,A3_bin_5,A3_bin_6,A3_bin_7,A3_bin_8,A3_bin_9,A3_bin_10,A3_bin_11,A3_bin_12,A3_bin_13,A3_bin_14,A3_bin_15,A3_bin_16,A3_bin_17,A3_bin_18,A3_bin_19,D3_bin_0,D3_bin_1,D3_bin_2,D3_bin_3,D3_bin_4,D3_bin_5,D3_bin_6,D3_bin_7,D3_bin_8,D3_bin_9,D3_bin_10,D3_bin_11,D3_bin_12,D3_bin_13,D3_bin_14,D3_bin_15,D3_bin_16,D3_bin_17,D3_bin_18,D3_bin_19,D4_bin_0,D4_bin_1,D4_bin_2,D4_bin_3,D4_bin_4,D4_bin_5,D4_bin_6,D4_bin_7,D4_bin_8,D4_bin_9,D4_bin_10,D4_bin_11,D4_bin_12,D4_bin_13,D4_bin_14,D4_bin_15,D4_bin_16,D4_bin_17,D4_bin_18,D4_bin_19
D00138_rm.obj,Apartment,0.22518717764653876,2.433321765055641,1.303771840362329,2.5122273140834195,0.9746171062204394,0.16554395371989442,0.4179189142975377,0.3980531516372147,1.0,0.7468867299999999,0.37680396000000005,0.0,0.0,0.0,0.0,0.003396,0.023088,0.033752,0.037064,0.036496,0.051948,0.056772,0.0931,0.104572,0.09028,0.071584,0.075052,0.113856,0.086644,0.062684,0.059712,0.003696,0.011072,0.019172,0.0273,0.037776,0.04736,0.06844,0.072656,0.074652,0.073824,0.075384,0.073912,0.070544,0.071116,0.071192,0.05198,0.039128,0.032592,0.027072,0.051132,0.031512,0.06898,0.096876,0.105076,0.102808,0.095464,0.08596,0.077836,0.067052,0.059788,0.052692,0.041672,0.03272,0.025876,0.019576,0.014344,0.009932,0.006676,0.003656,0.001504,0.001568,0.008128,0.02076,0.038076,0.059144,0.083672,0.107276,0.127972,0.13468,0.125852,0.103248,0.074696,0.051524,0.03338,0.019148,0.008876,0.001988,1.2e-05,0.0,0.0,0.006424,0.024124,0.053472,0.085936,0.115668,0.13832,0.150108,0.1448,0.122992,0.088248,0.04864,0.01796,0.003004,0.000288,1.6e-05,0.0,0.0,0.0,0.0,0.0
D00156_rm.obj,Apartment,0.3655452983140745,2.794975469120031,1.4574664171789484,1.4447716911080613,0.7373411247404282,0.08429813383384435,0.6344432214087378,0.6921508817999157,1.0,0.77434834,0.72428793,0.00206,0.004516,0.007916,0.00806,0.0127,0.025792,0.037896,0.047576,0.055244,0.081356,0.09306,0.109208,0.095164,0.12692,0.112292,0.08336,0.063088,0.027608,0.005828,0.000356,0.002716,0.010244,0.020484,0.03392,0.046984,0.060648,0.074856,0.086908,0.098912,0.101428,0.09728,0.087044,0.074492,0.061032,0.051144,0.038504,0.027944,0.01588,0.007132,0.002448,0.023116,0.058432,0.086048,0.10336,0.109932,0.108676,0.099536,0.087468,0.073932,0.062052,0.049488,0.0387,0.029432,0.022864,0.016564,0.011972,0.008464,0.005564,0.003276,0.001124,0.001352,0.007252,0.022712,0.046788,0.077936,0.108568,0.134684,0.146628,0.143016,0.119852,0.089548,0.057764,0.030172,0.011044,0.00248,0.000204,0.0,0.0,0.0,0.0,0.004636,0.02412,0.059244,0.099972,0.135808,0.156684,0.159852,0.1382,0.103856,0.066856,0.03364,0.013216,0.003384,0.000496,3.6e-05,0.0,0.0,0.0,0.0,0.0
m1344_rm.obj,AircraftBuoyant,0.18418769938338939,1.6691065862496597,1.3933614888595574,1.2119329479084562,0.44045747099919524,0.9149748367010109,0.7038070503453207,0.8251281572349293,1.0,0.6865423900000001,0.6856499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329916,0.284328,0.321444,0.019248,0.01608,0.007048,0.007976,0.000248,0.001596,0.012116,0.005384,0.015272,0.025128,0.035696,0.046156,0.057264,0.068516,0.077188,0.088252,0.098048,0.107164,0.115376,0.124888,0.087688,0.022304,0.011132,0.005756,0.002928,0.00302,0.00284,0.019192,0.052116,0.076196,0.095348,0.106256,0.110628,0.108228,0.101124,0.088588,0.07214,0.0564,0.040084,0.028816,0.019284,0.01208,0.00698,0.003828,0.0017,0.000812,0.0002,0.001784,0.009216,0.024732,0.047632,0.072944,0.102364,0.126844,0.149064,0.162028,0.15596,0.10312,0.029992,0.009884,0.003376,0.00106,0.0,0.0,0.0,0.0,0.0,0.004836,0.023544,0.056436,0.09548,0.128788,0.155608,0.162456,0.15054,0.119844,0.071676,0.024884,0.005044,0.000804,6e-05,0.0,0.0,0.0,0.0,0.0,0.0
m1340_rm.obj,AircraftBuoyant,0.04821941394050289,0.7905215401659751,1.1225133973122179,1.8786457551870432,0.4019091025064144,0.6839290748322837,0.1932436548035263,0.5322983309860018,1.0,0.360583,0.36057763,0.0,0.0,0.0,0.100084,0.124676,0.124096,0.126628,0.124328,0.134872,0.124448,0.0,0.0,0.0,0.0,0.0,0.0,0.021688,0.031684,0.0347,0.052796,0.015136,0.045592,0.075332,0.099324,0.120808,0.145232,0.176016,0.060264,0.034844,0.02174,0.020268,0.0247,0.027696,0.030084,0.03278,0.033856,0.023856,0.009264,0.002008,0.0012,0.050604,0.085504,0.100092,0.082592,0.083192,0.085696,0.085564,0.0793,0.07094,0.061676,0.05104,0.041336,0.033172,0.025892,0.020364,0.015368,0.011584,0.00878,0.005512,0.001792,0.006992,0.044388,0.109936,0.18158,0.235812,0.193528,0.08564,0.059772,0.048468,0.031292,0.002592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019588,0.103392,0.205048,0.256988,0.22342,0.120684,0.051908,0.017764,0.001208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1350_rm.obj,AircraftBuoyant,0.0457819566940027,0.8079917382095817,1.079688799624626,2.225254491880506,0.563018422877942,0.6945211779204582,0.12847325455962938,0.44938680211579995,1.0,0.29644886000000004,0.27900892,0.0,0.0,0.0,0.02902,0.144888,0.099316,0.093036,0.101652,0.073492,0.066744,0.061308,0.056676,0.053044,0.042376,0.057864,0.06982,0.041404,0.00936,0.0,0.0,0.013988,0.04096,0.064628,0.089136,0.116224,0.125424,0.096036,0.077856,0.063904,0.055256,0.0502,0.044916,0.040704,0.03426,0.026644,0.020792,0.01628,0.012664,0.00804,0.002088,0.0664,0.120856,0.123612,0.098476,0.075944,0.062508,0.054356,0.047708,0.04426,0.039832,0.038936,0.03672,0.035688,0.035168,0.033652,0.031528,0.026524,0.017676,0.008336,0.00182,0.006196,0.041472,0.102012,0.170356,0.214232,0.20646,0.152484,0.078096,0.027616,0.001076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.108036,0.2141,0.269208,0.237348,0.126848,0.023248,0.000412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00639_rm.obj,Apartment,0.24356563468795292,2.245875732429294,1.3275697947496776,1.6883899904537039,0.7504624990650014,0.6049119251186761,0.5161636385637336,0.5922802229663066,1.0,0.6427737099999999,0.5910021299999999,0.0,0.00054,0.007024,0.00898,0.013552,0.027556,0.045492,0.07424,0.083728,0.11328,0.109732,0.112388,0.119576,0.115396,0.077832,0.045308,0.024604,0.010316,0.002392,0.008064,0.00348,0.014624,0.029956,0.047792,0.061104,0.075664,0.086096,0.093204,0.095732,0.097128,0.092056,0.08432,0.0679,0.052168,0.0395,0.027424,0.015864,0.009384,0.003904,0.0027,0.02774,0.06848,0.092684,0.104276,0.103664,0.097648,0.090852,0.080792,0.071804,0.061448,0.051708,0.04086,0.031828,0.024144,0.017852,0.013592,0.009396,0.00636,0.003668,0.001204,0.001596,0.01062,0.03466,0.070552,0.1073,0.1363,0.152264,0.152232,0.13336,0.100108,0.060188,0.028312,0.009888,0.002176,0.0004,4.4e-05,0.0,0.0,0.0,0.0,0.006456,0.033656,0.081968,0.134688,0.169264,0.177292,0.159436,0.119296,0.072928,0.03308,0.009912,0.001808,0.000212,0.0,4e-06,0.0,0.0,0.0,0.0,0.0
D00348_rm.obj,Apartment,0.2716604555722963,2.4891562846814588,1.307954468039823,1.8477842999014429,0.8002021311064619,0.762112356477802,0.462831716902948,0.5411887091222379,1.0,0.578479,0.61327558,0.0,0.0,0.0,0.0,0.0,0.001784,0.023612,0.036412,0.06908,0.083272,0.09464,0.08652,0.092912,0.077768,0.066072,0.066504,0.107164,0.109216,0.058284,0.02676,0.004296,0.012404,0.021684,0.03074,0.039008,0.047084,0.055596,0.062924,0.070612,0.096304,0.099752,0.089964,0.076352,0.062136,0.05198,0.043496,0.036416,0.030344,0.024772,0.044136,0.032156,0.064304,0.08738,0.103676,0.10482,0.1,0.09162,0.081536,0.072276,0.061864,0.053288,0.041924,0.031588,0.023952,0.017724,0.0122,0.008604,0.00582,0.003656,0.001612,0.002444,0.009812,0.0239,0.041224,0.060528,0.081724,0.102104,0.118476,0.130148,0.12966,0.11332,0.090056,0.059416,0.02876,0.0074,0.001,2.8e-05,0.0,0.0,0.0,0.008808,0.029032,0.056532,0.084904,0.110188,0.12882,0.140096,0.136088,0.120664,0.092652,0.057832,0.026316,0.006924,0.001064,7.2e-05,8e-06,0.0,0.0,0.0,0.0
D00045_rm.obj,Apartment,0.2820540908889451,2.84789005789607,1.4940754921843498,2.56715728996058,0.56695597435741,0.345785733457396,0.6215209189219804,0.38953592906469536,0.97936763,1.0,0.5225903,0.0,0.0,0.0,0.0,0.0,0.003368,0.02518,0.055688,0.10716,0.176216,0.2093,0.180756,0.1148,0.052148,0.017444,0.010712,0.009972,0.011576,0.007552,0.018128,0.004916,0.022736,0.040232,0.049744,0.061128,0.070672,0.077316,0.085172,0.089428,0.09242,0.100956,0.10612,0.089916,0.051692,0.025772,0.013868,0.00846,0.005156,0.002644,0.001652,0.029208,0.06702,0.086668,0.098768,0.099576,0.09474,0.093204,0.087856,0.081092,0.06954,0.055856,0.042968,0.030868,0.021368,0.015156,0.0107,0.007304,0.004616,0.00264,0.000852,0.002192,0.016148,0.043792,0.075616,0.102352,0.127424,0.145184,0.156176,0.14894,0.100336,0.048188,0.02098,0.008976,0.002816,0.000644,0.000184,4e-05,1.2e-05,0.0,0.0,0.007696,0.03944,0.088852,0.133736,0.163312,0.173256,0.158028,0.120516,0.071116,0.029856,0.010256,0.003056,0.000692,0.000172,1.6e-05,0.0,0.0,0.0,0.0,0.0
m1352_rm.obj,AircraftBuoyant,0.05480270591798201,0.8481162186485628,1.1147433195760035,1.796014036361032,0.505635021732709,0.8483956350713644,0.2073639891048784,0.5567885215563992,1.0,0.37072331000000003,0.32437154,0.0,0.0,0.0,0.0,0.011428,0.210872,0.14616,0.097312,0.091024,0.086156,0.076252,0.069284,0.073928,0.063444,0.049692,0.013928,0.009164,0.001356,0.0,0.0,0.01254,0.036328,0.060548,0.077528,0.095912,0.120616,0.13346,0.10232,0.08102,0.06808,0.054852,0.04392,0.0356,0.02734,0.020772,0.014708,0.008708,0.004396,0.001344,8e-06,0.040876,0.092516,0.108828,0.107664,0.095128,0.081144,0.070096,0.060952,0.054328,0.048032,0.045496,0.04134,0.037848,0.034048,0.030032,0.024128,0.016324,0.008204,0.002544,0.000472,0.00536,0.03528,0.083776,0.139152,0.191816,0.21152,0.177796,0.116792,0.037492,0.001016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015588,0.083832,0.173188,0.233272,0.240508,0.178296,0.071164,0.004148,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00792_rm.obj,Apartment,0.2393178369533077,2.3291425157179804,1.538307417971134,1.9506784122974408,0.993968027817521,0.9313271222825981,0.7319894757046786,0.5126421626936626,1.0,0.90800813,0.73614601,0.0,0.0,0.00082,0.00296,0.005304,0.00472,0.001288,0.024228,0.044912,0.058808,0.060292,0.082856,0.178948,0.174752,0.141464,0.101196,0.086264,0.02688,0.004308,0.0,0.003696,0.010488,0.018476,0.027532,0.03708,0.048544,0.057924,0.066896,0.074672,0.09218,0.09548,0.088056,0.084428,0.078492,0.08692,0.060364,0.035404,0.019292,0.009584,0.004492,0.023516,0.05506,0.078708,0.096716,0.109068,0.11174,0.105764,0.093344,0.079744,0.06712,0.054028,0.039916,0.028836,0.020724,0.013628,0.00892,0.00582,0.004,0.00236,0.000988,0.00196,0.007508,0.018508,0.035232,0.0551,0.079408,0.103996,0.124776,0.13548,0.1375,0.123656,0.092836,0.053376,0.024096,0.006308,0.00026,0.0,0.0,0.0,0.0,0.006952,0.020832,0.04472,0.073436,0.105448,0.130272,0.144556,0.14536,0.128448,0.09774,0.061444,0.03048,0.009064,0.00114,0.0001,8e-06,0.0,0.0,0.0,0.0
