filename,class,vertices,faces,face_type,bounding_box
D00538.obj,Bed,7136,13868,triangles,"{'min_x': -0.838246, 'max_x': 0.8386, 'min_y': -0.479658, 'max_y': 0.702627, 'min_z': -0.325735, 'max_z': 0.411787}"
D00545.obj,Bed,415,838,triangles,"{'min_x': -0.832734, 'max_x': 0.876784, 'min_y': -0.47967, 'max_y': 0.747412, 'min_z': -0.39825, 'max_z': 0.346334}"
D00552.obj,Bed,6349,12251,triangles,"{'min_x': -1.05698, 'max_x': 0.489625, 'min_y': -0.719045, 'max_y': 0.71651, 'min_z': -0.464456, 'max_z': 0.232915}"
D00565.obj,Bed,826,1628,triangles,"{'min_x': -1.08588, 'max_x': 0.602982, 'min_y': -0.605613, 'max_y': 0.718594, 'min_z': -0.375019, 'max_z': 0.180431}"
D00650.obj,Bed,3752,7443,triangles,"{'min_x': -0.863733, 'max_x': 0.833154, 'min_y': -0.550605, 'max_y': 0.377532, 'min_z': -0.421559, 'max_z': 0.282019}"
D00735.obj,Bed,453,684,triangles,"{'min_x': -0.644923, 'max_x': 1.11344, 'min_y': -0.684425, 'max_y': 0.73777, 'min_z': -0.312594, 'max_z': 0.476146}"
D00836.obj,Bed,1563,3154,triangles,"{'min_x': -0.795864, 'max_x': 0.919097, 'min_y': -0.365307, 'max_y': 0.512459, 'min_z': -0.304602, 'max_z': 0.597853}"
D00839.obj,Bed,16364,32648,triangles,"{'min_x': -0.800648, 'max_x': 0.864395, 'min_y': -0.877287, 'max_y': 0.569772, 'min_z': -0.351917, 'max_z': 0.290771}"
D00969.obj,Bed,13151,23918,triangles,"{'min_x': -0.906979, 'max_x': 0.798208, 'min_y': -0.928304, 'max_y': 0.569391, 'min_z': -0.466867, 'max_z': 0.379395}"
D00988.obj,Bed,768,624,triangles,"{'min_x': -0.867888, 'max_x': 0.815509, 'min_y': -0.726326, 'max_y': 0.426407, 'min_z': -0.517681, 'max_z': 0.208921}"
m945.obj,Bed,8116,15659,triangles,"{'min_x': 0.025, 'max_x': 0.740004, 'min_y': 0.025, 'max_y': 0.813378, 'min_z': 0.025, 'max_z': 0.975}"
m946.obj,Bed,449,644,triangles,"{'min_x': 0.025, 'max_x': 0.494149, 'min_y': 0.025, 'max_y': 0.494147, 'min_z': 0.025, 'max_z': 0.975}"
m947.obj,Bed,441,584,triangles,"{'min_x': 0.025, 'max_x': 0.721994, 'min_y': 0.025, 'max_y': 0.445454, 'min_z': 0.025, 'max_z': 0.975}"
m948.obj,Bed,4597,9038,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.893382, 'min_z': 0.025, 'max_z': 0.961408}"
m949.obj,Bed,706,1388,triangles,"{'min_x': 0.025, 'max_x': 0.956207, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.489954}"
m950.obj,Bed,437,724,triangles,"{'min_x': 0.025, 'max_x': 0.769384, 'min_y': 0.025, 'max_y': 0.889227, 'min_z': 0.025, 'max_z': 0.975}"
m951.obj,Bed,363,572,triangles,"{'min_x': 0.025, 'max_x': 0.797947, 'min_y': 0.025, 'max_y': 0.536752, 'min_z': 0.025, 'max_z': 0.975}"
D00016.obj,Bicycle,2769,5049,triangles,"{'min_x': -0.914299, 'max_x': 0.959955, 'min_y': -0.44062, 'max_y': 0.818183, 'min_z': -0.209935, 'max_z': 0.177847}"
D00033.obj,Bicycle,2192,4448,triangles,"{'min_x': -1.0652, 'max_x': 0.878724, 'min_y': -0.389308, 'max_y': 0.704617, 'min_z': -0.281626, 'max_z': 0.310015}"
D00040.obj,Bicycle,25426,50650,triangles,"{'min_x': -0.94097, 'max_x': 0.963824, 'min_y': -0.458162, 'max_y': 0.744808, 'min_z': -0.31764, 'max_z': 0.315601}"
D00077.obj,Bicycle,16416,32265,triangles,"{'min_x': -0.846692, 'max_x': 1.04491, 'min_y': -0.658064, 'max_y': 0.486785, 'min_z': -0.363761, 'max_z': 0.288974}"
D00078.obj,Bicycle,22674,44740,triangles,"{'min_x': -1.01698, 'max_x': 0.86983, 'min_y': -0.596377, 'max_y': 0.758111, 'min_z': -0.365122, 'max_z': 0.358418}"
D00462.obj,Bicycle,56754,111471,triangles,"{'min_x': -0.981432, 'max_x': 0.933426, 'min_y': -0.593991, 'max_y': 0.611169, 'min_z': -0.276838, 'max_z': 0.23777}"
D00514.obj,Bicycle,6951,12939,triangles,"{'min_x': -1.00041, 'max_x': 0.867701, 'min_y': -0.554131, 'max_y': 0.697751, 'min_z': -0.218428, 'max_z': 0.17829}"
D00536.obj,Bicycle,30832,60488,triangles,"{'min_x': -0.885706, 'max_x': 1.02261, 'min_y': -0.552034, 'max_y': 0.679221, 'min_z': -0.459882, 'max_z': 0.437129}"
D00555.obj,Bicycle,34364,64544,triangles,"{'min_x': -0.953013, 'max_x': 0.973589, 'min_y': -0.49476, 'max_y': 0.757895, 'min_z': -0.333261, 'max_z': 0.354566}"
D00558.obj,Bicycle,19417,37661,triangles,"{'min_x': -1.01428, 'max_x': 0.938784, 'min_y': -0.539415, 'max_y': 0.584583, 'min_z': -0.283491, 'max_z': 0.236967}"
D00567.obj,Bicycle,436,916,triangles,"{'min_x': -0.923799, 'max_x': 0.991099, 'min_y': -0.503743, 'max_y': 0.689679, 'min_z': -0.288646, 'max_z': 0.266948}"
D00621.obj,Bicycle,2769,5049,triangles,"{'min_x': -0.914804, 'max_x': 0.956869, 'min_y': -0.720661, 'max_y': 0.549773, 'min_z': -0.212118, 'max_z': 0.175426}"
D00708.obj,Bicycle,22495,44110,triangles,"{'min_x': -0.993872, 'max_x': 0.942018, 'min_y': -0.56247, 'max_y': 0.649391, 'min_z': -0.307887, 'max_z': 0.280766}"
D00750.obj,Bicycle,3053,5484,triangles,"{'min_x': -0.811559, 'max_x': 1.10338, 'min_y': -0.818838, 'max_y': 0.736372, 'min_z': -0.167292, 'max_z': 0.439656}"
D00838.obj,Bicycle,23397,45925,triangles,"{'min_x': -0.942974, 'max_x': 0.971944, 'min_y': -0.638045, 'max_y': 0.560247, 'min_z': -0.298061, 'max_z': 0.284249}"
D00847.obj,Bicycle,22672,44707,triangles,"{'min_x': -0.932407, 'max_x': 0.973915, 'min_y': -0.589276, 'max_y': 0.732026, 'min_z': -0.361317, 'max_z': 0.361906}"
D00904.obj,Bicycle,5354,10548,triangles,"{'min_x': -0.959896, 'max_x': 0.953013, 'min_y': -0.599316, 'max_y': 0.637406, 'min_z': -0.196088, 'max_z': 0.191298}"
D00930.obj,Bicycle,29173,57224,triangles,"{'min_x': -0.738729, 'max_x': 0.994006, 'min_y': -0.51995, 'max_y': 0.852751, 'min_z': -0.3426, 'max_z': 0.337158}"
D00931.obj,Bicycle,32603,64230,triangles,"{'min_x': -0.920573, 'max_x': 0.849829, 'min_y': -0.400919, 'max_y': 0.684049, 'min_z': -0.432948, 'max_z': 0.135958}"
D00974.obj,Bicycle,6045,12065,triangles,"{'min_x': -0.843326, 'max_x': 1.05063, 'min_y': -0.583879, 'max_y': 0.550897, 'min_z': -0.210511, 'max_z': 0.209059}"
m1472.obj,Bicycle,524,846,triangles,"{'min_x': 0.025, 'max_x': 0.406458, 'min_y': 0.025, 'max_y': 0.566816, 'min_z': 0.025, 'max_z': 0.975}"
m1473.obj,Bicycle,2192,4448,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.557643, 'min_z': 0.025, 'max_z': 0.314071}"
m1475.obj,Bicycle,6049,12065,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.513449, 'min_z': 0.025, 'max_z': 0.232333}"
m1476.obj,Bicycle,436,916,triangles,"{'min_x': 0.025, 'max_x': 0.299675, 'min_y': 0.025, 'max_y': 0.574723, 'min_z': 0.025, 'max_z': 0.975}"
m1477.obj,Bicycle,22682,44727,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.616046, 'min_z': 0.025, 'max_z': 0.376031}"
m1478.obj,Bicycle,2769,5049,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.611666, 'min_z': 0.025, 'max_z': 0.223576}"
D00069.obj,Biplane,3242,6326,triangles,"{'min_x': -1.06342, 'max_x': 0.905137, 'min_y': -0.446842, 'max_y': 0.553446, 'min_z': -0.198847, 'max_z': 0.199738}"
D00132.obj,Biplane,287,348,triangles,"{'min_x': -0.948872, 'max_x': 0.947322, 'min_y': -0.416782, 'max_y': 0.85261, 'min_z': -0.129309, 'max_z': 0.255501}"
D00178.obj,Biplane,10942,8057,triangles,"{'min_x': -0.870457, 'max_x': 0.487153, 'min_y': -0.469202, 'max_y': 0.592445, 'min_z': -0.176893, 'max_z': 0.125855}"
D00199.obj,Biplane,2584,3764,triangles,"{'min_x': -1.01653, 'max_x': 0.915606, 'min_y': -0.38886, 'max_y': 1.07596, 'min_z': -0.234302, 'max_z': 0.339116}"
D00246.obj,Biplane,14082,9353,triangles,"{'min_x': -0.984595, 'max_x': 0.998878, 'min_y': -0.395955, 'max_y': 0.632082, 'min_z': -0.193048, 'max_z': 0.139304}"
D00276.obj,Biplane,567,916,triangles,"{'min_x': -1.08018, 'max_x': 0.699036, 'min_y': -0.864861, 'max_y': 0.766394, 'min_z': -0.468883, 'max_z': 0.477538}"
D00277.obj,Biplane,22427,41567,triangles,"{'min_x': -0.557817, 'max_x': 0.804851, 'min_y': -1.05515, 'max_y': 0.813411, 'min_z': -0.278621, 'max_z': 0.268756}"
D00320.obj,Biplane,9723,17476,triangles,"{'min_x': -0.990106, 'max_x': 0.984606, 'min_y': -0.75142, 'max_y': 0.427939, 'min_z': -0.152266, 'max_z': 0.303238}"
D00373.obj,Biplane,5941,12536,triangles,"{'min_x': -0.666583, 'max_x': 0.863905, 'min_y': -0.96762, 'max_y': 0.930583, 'min_z': -0.376918, 'max_z': 0.245878}"
D00410.obj,Biplane,2167,4254,triangles,"{'min_x': -1.1498, 'max_x': 0.772427, 'min_y': -0.571534, 'max_y': 0.608046, 'min_z': -0.231691, 'max_z': 0.173266}"
D00490.obj,Biplane,24998,46318,triangles,"{'min_x': -0.858495, 'max_x': 0.970724, 'min_y': -0.555024, 'max_y': 0.710541, 'min_z': -0.26707, 'max_z': 0.214749}"
D00515.obj,Biplane,5381,10522,triangles,"{'min_x': -0.890078, 'max_x': 0.687934, 'min_y': -0.889517, 'max_y': 0.863811, 'min_z': -0.31532, 'max_z': 0.254273}"
D00601.obj,Biplane,18086,36024,triangles,"{'min_x': -0.807461, 'max_x': 0.820881, 'min_y': -0.49454, 'max_y': 0.784118, 'min_z': -0.350623, 'max_z': 0.447235}"
D00616.obj,Biplane,20306,37102,triangles,"{'min_x': -1.03189, 'max_x': 0.95107, 'min_y': -0.595964, 'max_y': 0.339843, 'min_z': -0.192579, 'max_z': 0.186078}"
D00632.obj,Biplane,624,1024,triangles,"{'min_x': -0.845186, 'max_x': 0.628879, 'min_y': -0.93675, 'max_y': 0.935701, 'min_z': -0.236713, 'max_z': 0.317531}"
D00634.obj,Biplane,48973,77264,triangles,"{'min_x': -0.958046, 'max_x': 0.976882, 'min_y': -0.738138, 'max_y': 0.796668, 'min_z': -0.336325, 'max_z': 0.259283}"
D00666.obj,Biplane,469,794,triangles,"{'min_x': -1.22452, 'max_x': 0.693364, 'min_y': -0.946743, 'max_y': 0.962328, 'min_z': -0.266142, 'max_z': 0.179309}"
D00854.obj,Biplane,18966,37292,triangles,"{'min_x': -0.967073, 'max_x': 0.454312, 'min_y': -0.953196, 'max_y': 0.980111, 'min_z': -0.191033, 'max_z': 0.354826}"
D00890.obj,Biplane,45079,47490,triangles,"{'min_x': -0.889169, 'max_x': 0.882175, 'min_y': -0.837059, 'max_y': 0.766087, 'min_z': -0.259336, 'max_z': 0.321112}"
D00900.obj,Biplane,27750,49863,triangles,"{'min_x': -1.17911, 'max_x': 0.805355, 'min_y': -0.897227, 'max_y': 0.482773, 'min_z': -0.179258, 'max_z': 0.275993}"
m1118.obj,Biplane,10676,20408,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.231623, 'min_z': 0.025, 'max_z': 0.526884}"
m1119.obj,Biplane,863,1550,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.379325, 'min_z': 0.025, 'max_z': 0.815271}"
m1120.obj,Biplane,65722,129881,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.370037, 'min_z': 0.025, 'max_z': 0.889139}"
m1121.obj,Biplane,1062,1913,triangles,"{'min_x': 0.025, 'max_x': 0.792248, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.328749}"
